date,value
2024-07-19,1252997.65
2024-07-22,1252997.65
2024-07-23,1252997.65
2024-07-24,1252997.65
2024-07-25,1252997.65
2024-07-26,1252997.65
2024-07-29,1252997.65
2024-07-30,1252997.65
2024-07-31,1252997.65
2024-08-01,1252997.65
2024-08-02,1252997.65
2024-08-05,1252997.65
2024-08-06,1252997.65
2024-08-07,1252997.65
2024-08-08,1252997.65
2024-08-09,1252997.65
2024-08-12,1252997.65
2024-08-13,1252997.65
2024-08-14,1252997.65
2024-08-15,1252997.65
2024-08-16,1252997.65
2024-08-19,1252997.65
2024-08-20,1252997.65
2024-08-21,1230996.67
2024-08-22,1231428.64
2024-08-23,1231428.64
2024-08-26,1236593.94
2024-08-27,1236002.94
2024-08-28,1248019.94
2024-08-29,1260036.94
2024-08-30,1249398.94
2024-09-02,1213544.94
2024-09-03,1223000.94
2024-09-04,1218529.04
2024-09-05,1218529.04
2024-09-06,1218529.04
2024-09-09,1218529.04
2024-09-10,1218529.04
2024-09-11,1218529.04
2024-09-12,1218529.04
2024-09-13,1218529.04
2024-09-16,1218529.04
2024-09-17,1218529.04
2024-09-18,1218529.04
2024-09-19,1218529.04
2024-09-20,1218529.04
2024-09-23,1218529.04
2024-09-24,1218529.04
2024-09-25,1218529.04
2024-09-26,1218529.04
2024-09-27,1218529.04
2024-09-30,1218529.04
2024-10-01,1218529.04
2024-10-02,1218529.04
2024-10-03,1218529.04
2024-10-04,1218529.04
2024-10-07,1218529.04
2024-10-08,1218529.04
2024-10-09,1218529.04
2024-10-10,1218529.04
2024-10-11,1218529.04
2024-10-14,1218529.04
2024-10-15,1218529.04
2024-10-16,1218529.04
2024-10-17,1218529.04
2024-10-18,1218529.04
2024-10-21,1218529.04
2024-10-22,1218529.04
2024-10-23,1218529.04
2024-10-24,1218529.04
2024-10-25,1218529.04
2024-10-28,1218529.04
2024-10-29,1218529.04
2024-10-30,1218529.04
2024-10-31,1218529.04
2024-11-01,1218529.04
2024-11-04,1218529.04
2024-11-05,1218529.04
2024-11-06,1218529.04
2024-11-07,1227441.83
2024-11-08,1256400.83
2024-11-11,1267235.83
2024-11-12,1264698.63
2024-11-13,1298194.38
2024-11-14,1300044.38
2024-11-15,1306334.38
2024-11-18,1301830.59
2024-11-19,1301830.59
2024-11-20,1301830.59
2024-11-21,1301830.59
2024-11-22,1301655.63
2024-11-25,1281570.63
2024-11-26,1292295.63
2024-11-27,1296780.63
2024-11-28,1327005.63
2024-11-29,1354890.63
2024-12-02,1347090.63
2024-12-03,1366200.63
2024-12-04,1394670.63
2024-12-05,1390686.86
2024-12-06,1390686.86
2024-12-09,1390686.86
2024-12-10,1390686.86
2024-12-11,1390686.86
2024-12-12,1390686.86
2024-12-13,1390686.86
2024-12-16,1390686.86
2024-12-17,1390686.86
2024-12-18,1390686.86
2024-12-19,1390686.86
2024-12-20,1390686.86
2024-12-23,1394420.07
2024-12-24,1339036.07
2024-12-25,1326509.52
2024-12-26,1326509.52
2024-12-27,1326509.52
2024-12-30,1326509.52
2024-12-31,1326509.52
2025-01-01,1326509.52
2025-01-02,1326509.52
2025-01-03,1326509.52
2025-01-06,1326509.52
2025-01-07,1326509.52
2025-01-08,1326509.52
2025-01-09,1326509.52
2025-01-10,1326509.52
2025-01-13,1326509.52
2025-01-14,1326509.52
2025-01-15,1326509.52
2025-01-16,1326509.52
2025-01-17,1326509.52
2025-01-20,1326509.52
2025-01-21,1326509.52
2025-01-22,1326509.52
2025-01-23,1326509.52
2025-01-24,1326509.52
2025-01-27,1326509.52
2025-01-28,1326509.52
2025-01-29,1326509.52
2025-01-30,1326509.52
2025-01-31,1326509.52
2025-02-03,1326509.52
2025-02-04,1326509.52
2025-02-05,1326509.52
2025-02-06,1326509.52
2025-02-07,1326509.52
2025-02-10,1326509.52
2025-02-11,1326509.52
2025-02-12,1326509.52
2025-02-13,1326509.52
2025-02-14,1326509.52
2025-02-17,1326509.52
2025-02-18,1326509.52
2025-02-19,1326509.52
2025-02-20,1326509.52
2025-02-21,1326509.52
2025-02-24,1326509.52
2025-02-25,1326509.52
2025-02-26,1326509.52
2025-02-27,1326509.52
2025-02-28,1326509.52
2025-03-03,1326509.52
2025-03-04,1326509.52
2025-03-05,1326509.52
2025-03-06,1326509.52
2025-03-07,1326509.52
2025-03-10,1326509.52
2025-03-11,1326509.52
2025-03-12,1326509.52
2025-03-13,1326509.52
2025-03-14,1326509.52
2025-03-17,1326509.52
2025-03-18,1326509.52
2025-03-19,1326509.52
2025-03-20,1326509.52
2025-03-21,1326509.52
2025-03-24,1326509.52
2025-03-25,1326509.52
2025-03-26,1326509.52
2025-03-27,1326509.52
2025-03-28,1326509.52
2025-03-31,1372663.98
2025-04-01,1385071.98
2025-04-02,1369984.98
2025-04-03,1368807.57
2025-04-04,1388867.4
2025-04-07,1415989.4
2025-04-08,1457027.4
2025-04-09,1483155.4
2025-04-10,1467819.4
2025-04-11,1496929.4
2025-04-14,1491817.4
2025-04-15,1488835.4
2025-04-16,1479037.4
2025-04-17,1491533.4
2025-04-18,1467109.4
2025-04-21,1481451.4
2025-04-22,1482729.4
2025-04-23,1471937.4
2025-04-24,1475913.4
2025-04-25,1483305.46
2025-04-28,1483305.46
2025-04-29,1483305.46
2025-04-30,1483305.46
2025-05-01,1483305.46
2025-05-02,1483305.46
2025-05-05,1483305.46
2025-05-06,1483305.46
2025-05-07,1483305.46
2025-05-08,1483305.46
2025-05-09,1483305.46
2025-05-12,1483305.46
2025-05-13,1483305.46
2025-05-14,1483305.46
2025-05-15,1483305.46
2025-05-16,1483305.46
2025-05-19,1483305.46
2025-05-20,1483305.46
2025-05-21,1483305.46
2025-05-22,1483305.46
2025-05-23,1483305.46
2025-05-26,1483305.46
2025-05-27,1483305.46
2025-05-28,1483305.46
2025-05-29,1483305.46
2025-05-30,1483305.46
2025-06-02,1483305.46
2025-06-03,1483305.46
2025-06-04,1483305.46
2025-06-05,1483305.46
2025-06-06,1483305.46
2025-06-09,1483305.46
2025-06-10,1483305.46
2025-06-11,1483305.46
2025-06-12,1483305.46
2025-06-13,1483305.46
2025-06-16,1483305.46
2025-06-17,1483305.46
2025-06-18,1483305.46
2025-06-19,1483305.46
2025-06-20,1483305.46
2025-06-23,1483305.46
2025-06-24,1483305.46
2025-06-25,1483305.46
2025-06-26,1483305.46
2025-06-27,1483305.46
2025-06-30,1483305.46
2025-07-01,1483305.46
2025-07-02,1483305.46
2025-07-03,1483305.46
2025-07-04,1483305.46
2025-07-07,1483305.46
2025-07-08,1483305.46
2025-07-09,1483305.46
2025-07-10,1494918.51
2025-07-11,1518553.51
2025-07-14,1527688.51
2025-07-15,1542478.51
2025-07-16,1543334.01
2025-07-17,1543334.01
2025-07-18,1543334.01
2025-07-21,1543334.01
2025-07-22,1543334.01
2025-07-23,1543334.01
2025-07-24,1543334.01
2025-07-25,1543334.01
2025-07-28,1543334.01
2025-07-29,1543334.01
2025-07-30,1543334.01
2025-07-31,1543334.01
2025-08-01,1543334.01
2025-08-04,1543334.01
2025-08-05,1543334.01
2025-08-06,1543334.01
2025-08-07,1543334.01
2025-08-08,1543334.01
2025-08-11,1543334.01
2025-08-12,1543334.01
2025-08-13,1543334.01
2025-08-14,1543334.01
2025-08-15,1543334.01
2025-08-18,1543334.01
2025-08-19,1543334.01
2025-08-20,1543334.01
2025-08-21,1543334.01
2025-08-22,1543334.01
2025-08-25,1543334.01
2025-08-26,1543334.01
2025-08-27,1543334.01
2025-08-28,1543334.01
2025-08-29,1543334.01
2025-09-01,1543334.01
2025-09-02,1543334.01
2025-09-03,1543334.01
2025-09-04,1543334.01
2025-09-05,1543334.01
2025-09-08,1543334.01
2025-09-09,1543334.01
2025-09-10,1543334.01
2025-09-11,1510346.31
2025-09-12,1561806.31
2025-09-15,1610166.31
2025-09-16,1662246.31
2025-09-17,1678366.31
2025-09-18,1684411.31
2025-09-19,1743001.31
2025-09-22,1733391.31
2025-09-23,1759276.31
2025-09-24,1814921.31
2025-09-25,1864211.31
2025-09-26,1944191.31
2025-09-29,1971781.31
2025-09-30,2017816.31
2025-10-01,2042306.31
2025-10-02,2085861.31
2025-10-03,2028511.31
2025-10-06,2107406.31
2025-10-07,2122906.31
2025-10-08,2108491.31
2025-10-09,2199321.31
2025-10-10,2257911.31
2025-10-13,2260391.31
2025-10-14,2271241.31
2025-10-15,2273827.95
2025-10-16,2273827.95
2025-10-17,2273827.95
2025-10-20,2273827.95
2025-10-21,2273827.95
2025-10-22,2273827.95
2025-10-23,2273827.95
2025-10-24,2273827.95
2025-10-27,2273827.95
2025-10-28,2273827.95
2025-10-29,2273827.95
2025-10-30,2273827.95
2025-10-31,2273827.95
2025-11-03,2273827.95
2025-11-04,2273827.95
2025-11-05,2273827.95
2025-11-06,2273827.95
2025-11-07,2273827.95
2025-11-10,2273827.95
2025-11-11,2273827.95
2025-11-12,2273827.95
2025-11-13,2273827.95
2025-11-14,2273827.95
2025-11-17,2273827.95
2025-11-18,2273827.95
2025-11-19,2273827.95
2025-11-20,2273827.95
2025-11-21,2273827.95
2025-11-24,2273827.95
2025-11-25,2273827.95
2025-11-26,2273827.95
2025-11-27,2273827.95
2025-11-28,2273827.95
2025-12-01,2273827.95
2025-12-02,2273827.95
2025-12-03,2273827.95
2025-12-04,2273827.95
2025-12-05,2273827.95
2025-12-08,2273827.95
2025-12-09,2273827.95
2025-12-10,2273827.95
2025-12-11,2273827.95
2025-12-12,2273827.95
2025-12-15,2273827.95
2025-12-16,2273827.95
2025-12-17,2273827.95
2025-12-18,2273827.95
2025-12-19,2273827.95
2025-12-22,2273827.95
2025-12-23,2273827.95
2025-12-24,2273827.95
2025-12-25,2273827.95
2025-12-26,2273827.95
2025-12-29,2273827.95
2025-12-30,2273827.95
2025-12-31,2273827.95
